round,date,stability_pass,is_selected_round,is_last_round,oos_icir,oos_sharpe,oos_ls_rtn,turnover,oos_excess_vs_prevlib,d_oos_sharpe,d_oos_icir,test_oos_icir,test_oos_sharpe,test_oos_ls_rtn,test_oos_icir_pct,test_oos_sharpe_pct,test_oos_ls_rtn_pct
26,2016-05-25,False,False,False,7.312342060455291,7.306907095629712,0.03067246324418048,0.3870967741935484,-0.0005100894012391791,0.021281770390611632,0.020856638882283507,7.02104612335531,7.0247335317533866,0.02934595420911377,0.5,0.5,0.4722222222222222
27,2016-06-23,False,False,False,7.40105366673636,7.3975074417502835,0.030880717890552443,0.5074626865671642,0.00020825464637196436,0.012812823823940889,0.012545715674258995,7.114711595956069,7.109087903244995,0.029589087535679556,0.75,0.75,0.6666666666666666
28,2016-07-22,False,False,False,7.366072237362398,7.360938441066281,0.03074491917706997,0.4375,-0.00013579871348247397,0.005171637672974683,0.004947121185185255,6.9908595920315335,6.989297485513421,0.029395374362495327,0.4722222222222222,0.4722222222222222,0.5
29,2016-08-22,False,False,False,7.3285257301377005,7.323232284329579,0.030642884987233346,0.3870967741935484,-0.00010203418983662296,0.0053324558242009434,0.0053098779736906465,6.951919122620187,6.953122920893748,0.02894440176755354,0.3611111111111111,0.3611111111111111,0.08333333333333333
30,2016-09-20,False,False,False,7.353820699075786,7.349215644038021,0.030812930985912455,0.46153846153846156,0.00017004599867910877,0.003674601969569702,0.0035772488132046476,7.239716179285571,7.240240695124565,0.030126341738792133,0.9166666666666666,0.9166666666666666,0.9444444444444444
31,2016-10-19,False,False,False,7.380981739596972,7.37442745399761,0.030878680015940973,0.4126984126984127,6.574903002851823e-05,0.0035654883576823337,0.0038411511873226445,6.889054793313371,6.890010397623296,0.02902637407835214,0.05555555555555555,0.08333333333333333,0.19444444444444445
32,2016-11-17,False,False,False,7.434911091118736,7.430756456000904,0.030975497317135343,0.360655737704918,9.681730119437057e-05,0.007966123858800023,0.007626762033206447,7.10922995231771,7.106993107044828,0.029672709689802693,0.7222222222222222,0.7222222222222222,0.7777777777777778
33,2016-12-16,False,False,False,7.411949300744893,7.4104299831464475,0.030927026385054096,0.360655737704918,-4.8470932081247364e-05,0.0028745973585981854,0.003247287536305654,6.937048470221651,6.932644052825232,0.02922477879869522,0.2777777777777778,0.2777777777777778,0.4166666666666667
34,2017-01-16,False,False,False,7.3750879773405975,7.370374616580575,0.03075061157142267,0.5074626865671642,-0.00017641481363142586,0.005664684264328201,0.005212978348537511,6.768568311618989,6.768390546482867,0.02855573380116989,0.027777777777777776,0.027777777777777776,0.027777777777777776
35,2017-02-14,False,False,False,7.253708597415994,7.2464232120364604,0.0304956133416391,0.46153846153846156,-0.00025499822978357,0.017529375738148056,0.01716563652818115,7.064907890581818,7.066244271392849,0.029630056960171566,0.5833333333333334,0.6111111111111112,0.7222222222222222
36,2017-03-15,False,False,True,7.494367564974271,7.4876208777947255,0.03127911640961063,0.4126984126984127,0.0007835030679715325,0.034110501012807104,0.03403431758276221,7.0787379549658525,7.079825863630521,0.029542326011191812,0.6666666666666666,0.6666666666666666,0.6111111111111112
